uniquename	name	genus	species
FBte0000166	Dmim\Bari1	Drosophila	mimetica
FBte0000820	Dame\Penelope	Drosophila	americana americana
FBte0000167	Dmer\F-element	Drosophila	mercatorum mercatorum
FBte0000821	Dmon\Penelope	Drosophila	montana
FBte0000822	Dpro\gypsy	Drosophila	prosaltans
FBte0000168	gypsy8	Drosophila	melanogaster
FBte0000169	Dlac\Penelope	Drosophila	lacicola
FBte0000170	Helitron	Drosophila	melanogaster
FBte0000171	gypsy7	Drosophila	melanogaster
FBte0000474	Dlum\Bari1	Drosophila	lummei
FBte0000501	Dqud\412	Drosophila	quadrilineata
FBte0000823	Damb\P-element	Drosophila	ambigua
FBte0000172	Dmei\412	Drosophila	merina
FBte0000173	Dspn\micropia	Drosophila	spenceri
FBte0000174	G5A	Drosophila	melanogaster
FBte0000175	Dpse\TRIM	Drosophila	pseudoobscura pseudoobscura
FBte0000478	Zvit\412	Zaprionus	vittiger
FBte0000824	Dbii\Tirant	Drosophila	biarmipes
FBte0000177	Dbio\hobo	Drosophila	bicornuta
FBte0000178	Dmir\Tirant	Drosophila	miranda
FBte0000825	Dpse\mdg1	Drosophila	pseudoobscura pseudoobscura
FBte0000826	Dsim\3S18	Drosophila	simulans
FBte0000180	Dstu\mariner	Drosophila	sturtevanti
FBte0000827	Dgua\SGM	Drosophila	guanche
FBte0000828	Ddav\1731	Drosophila	davidi
FBte0000181	Dsim\mdg1	Drosophila	simulans
FBte0000182	Dtei\1731	Drosophila	teissieri
FBte0000183	Dmds\gypsy	Drosophila	mediosignata
FBte0000184	Ztub\412	Zaprionus	tuberculatus
FBte0000185	Ddos\mariner	Drosophila	dossoui
FBte0000829	Dlac\Helena	Drosophila	lacicola
FBte0000186	Dbif\412	Drosophila	bifasciata
FBte0000187	Dbif\mdg1	Drosophila	bifasciata
FBte0000530	Dsim\412	Drosophila	simulans
FBte0000652	Dort\gypsy	Drosophila	ornatifrons
FBte0000830	Dmad\INE-1	Drosophila	madeirensis
FBte0000831	Dbif\gypsy	Drosophila	bifasciata
FBte0000832	Dfla\Helena	Drosophila	flavomontana
FBte0000188	invader5	Drosophila	melanogaster
FBte0000189	Dele\I-element	Drosophila	elegans
FBte0000449	Dhyd\412	Drosophila	hydei
FBte0000450	Dast\Minos	Drosophila	austrosaltans
FBte0000716	Dsub\copia	Drosophila	subobscura
FBte0000532	Dgua\412	Drosophila	guanche
FBte0000190	Dhet\Uhu	Drosophila	heteroneura
FBte0000242	Dtei\I-element	Drosophila	teissieri
FBte0000425	GRT-G1-element	Drosophila	melanogaster
FBte0000205	Dbuz\gypsy	Drosophila	buzzatii
FBte0000206	Soka\P-element	Scaptomyza	okadai
FBte0000925	Dnet\R1-element	Drosophila	neotestacea
FBte0000207	Dwil\P-element	Drosophila	willistoni
FBte0000208	Dtri\F-element	Drosophila	tristis
FBte0000833	Dsec\R1-element	Drosophila	sechellia
FBte0000926	McClintock	Drosophila	melanogaster
FBte0000927	Tc1	Drosophila	melanogaster
FBte0000540	Dwhe\Gandalf	Drosophila	wheeleri
FBte0000836	Dsim\flea	Drosophila	simulans
FBte0000950	Dmir\kirk	Drosophila	miranda
FBte0000209	Dper\Tirant	Drosophila	persimilis
FBte0000070	Dcan\bilbo	Drosophila	canalinea
FBte0000537	Dpsb\3S18	Drosophila	pseudoobscura bogotana
FBte0000538	Dvir\HeT-A	Drosophila	virilis
FBte0000539	Dbdu\INE-1	Drosophila	belladunni
FBte0000193	Dsil\Uhu	Drosophila	silvestris
FBte0000028	Dkoe\Gandalf	Drosophila	koepferae
FBte0000210	Dpse\transib1	Drosophila	pseudoobscura pseudoobscura
FBte0000211	Dbak\mariner	Drosophila	bakoue
FBte0000212	Dkan\Penelope	Drosophila	kanekoi
FBte0000213	Delp\gypsy	Drosophila	elliptica
FBte0000214	Dlet\mariner	Drosophila	leontia
FBte0000558	Dpmo\gypsy	Drosophila	polymorpha
FBte0000559	1360	Drosophila	melanogaster
FBte0000494	Dvir\412	Drosophila	virilis
FBte0000560	spock-Dmir-like	Drosophila	melanogaster
FBte0000561	Dkha\P-element	Drosophila	khaoyana
FBte0000215	Dlus\P-element	Drosophila	lusaltans
