embl_id,fb_id,source_id,flybase_name,species,te_name,te_type_gff,te_type_fasta,te_subtype_fasta
DVRPPDV,FBte0000647,X03936,Dvir\Dv,Dvir,Dv,transposable_element,?,?
AF056940,FBte0000032,AF056940,Dvir\Tv1,Dvir,Tv1,LTR_retrotransposon,?,?
DVULYSS,FBte0000322,X56645,Dvir\Ulysses,Dvir,Ulysses,LTR_retrotransposon,?,?
TV1,FBte0000415,Z49253,Dvir\Paris,Dvir,Paris,non_LTR_retrotransposon,?,?
TARTVIR,FBte0000683,AY219709,Dvir\TART-element,Dvir,TART-element,non_LTR_retrotransposon,?,?
VIRUVIR,FBte0000291,AY369259,Dvir\U,Dvir,U,non_LTR_retrotransposon,?,?
DV49102,FBte0000158,U49102,Dvir\Penelope,Dvir,Penelope,non_LTR_retrotransposon,?,?
AF009439,FBte0000942,AF009439,Dvir\Tel,Dvir,Tel,LTR_retrotransposon,?,?
DV26847,FBte0000017,U26847,Dvir\Helena,Dvir,Helena,non_LTR_retrotransposon,?,?
HETAVIR,FBte0000538,AY369259,Dvir\HeT-A,Dvir,HeT-A,non_LTR_retrotransposon,?,?
VEGE,FBte0000353,AF518730,Dwil\Vege,Dwil,Vege,mite,?,?
MAR,FBte0000892,AF518731,Dwil\Mar,Dwil,Mar,mite,?,?
YAKHETA,FBte0000737,AF043258,Dyak\HeT-A,Dyak,HeT-A,non_LTR_retrotransposon,?,?
TARTYAK,FBte0000886,AF468026,Dyak\TART-element,Dyak,TART-element,non_LTR_retrotransposon,?,?
